Prey.Accession,Gene.Symbol.x,TaxID,Localization
B9VXM8,UL70,10360,Viral
F5H8S6,US24,10360,Viral
F5HAY6,UL36,10360,Viral
F5HAZ3,US23,10360,Viral
F5HCH8,UL115,10360,Viral
F5HEA3,UL71,10360,Viral
F5HGT1,UL86,10360,Viral
F5HGU6,UL132,10360,Viral
O00165,HAX1,9606,Membrane; Mitochondria; ER/Golgi
O00743,PPP6C,9606,Mitochondria
O14879,IFIT3,9606,Mitochondria
O75746,SLC25A12,9606,Mitochondria
O96008,TOMM40,9606,Mitochondria
P00403,COX2,9606,Mitochondria
P16755,UL13,10360,Viral
P16761,UL25,10360,Viral
P16778,UL37,10360,Viral
P16810,RL12,10360,Viral
P16837,UL128,10360,Viral
P31040,SDHA,9606,Mitochondria
P35232,PHB,9606,Mitochondria
P36542,ATP5C1,9606,Mitochondria
P40939,HADHA,9606,Mitochondria
P42704,LRPPRC,9606,Mitochondria
P55084,HADHB,9606,Mitochondria; ER/Golgi
P62269,RPS18,9606,Membrane; Mitochondria
Q07020,RPL18,9606,ER/Golgi; Peroxisome
Q07021,C1QBP,9606,Membrane; Mitochondria
Q14318,FKBP8,9606,Mitochondria
Q16891,IMMT,9606,Mitochondria
Q5SRD1,TIMM23B,9606,Mitochondria
Q5T160,RARS2,9606,Mitochondria
Q6NUK1,SLC25A24,9606,Mitochondria
Q96EY1,DNAJA3,9606,Membrane; Mitochondria
Q9NVI7,ATAD3A,9606,Mitochondria
Q9NX63,CHCHD3,9606,Mitochondria
Q9UBX3,SLC25A10,9606,Mitochondria
Q9UJS0,SLC25A13,9606,Mitochondria
Q9UJZ1,STOML2,9606,Membrane; Mitochondria
Q9Y277,VDAC3,9606,Mitochondria
